n,thread_x,thread_y,average_time_gpu,average_time_cpu
1000,1,1,1439.0999999999997,426.7053333333332
1000,1,2,659.8,426.7053333333332
1000,1,4,308.23333333333335,426.7053333333332
1000,1,8,160.36666666666667,426.7053333333332
1000,1,16,129.56666666666666,426.7053333333332
1000,2,1,706.5666666666666,426.7053333333332
1000,2,2,344.3666666666666,426.7053333333332
1000,2,4,162.76666666666665,426.7053333333332
1000,2,8,89.36666666666667,426.7053333333332
1000,2,16,113.5,426.7053333333332
1000,4,1,348.4666666666667,426.7053333333332
1000,4,2,171.83333333333334,426.7053333333332
1000,4,4,86.03333333333335,426.7053333333332
1000,4,8,71.96666666666667,426.7053333333332
1000,4,16,94.33333333333333,426.7053333333332
1000,8,1,242.79999999999998,426.7053333333332
1000,8,2,88.96666666666665,426.7053333333332
1000,8,4,74.26666666666667,426.7053333333332
1000,8,8,62.53333333333333,426.7053333333332
1000,8,16,93.63333333333333,426.7053333333332
1000,16,1,191.13333333333333,426.7053333333332
1000,16,2,82.93333333333334,426.7053333333332
1000,16,4,58.166666666666664,426.7053333333332
1000,16,8,71.13333333333334,426.7053333333332
1000,16,16,88.36666666666667,426.7053333333332
10000,1,1,135048.7,42934.27199999999
10000,1,2,65581.2,42934.27199999999
10000,1,4,29914.233333333334,42934.27199999999
10000,1,8,18211.0,42934.27199999999
10000,1,16,16764.399999999998,42934.27199999999
10000,2,1,71731.46666666667,42934.27199999999
10000,2,2,36523.333333333336,42934.27199999999
10000,2,4,17364.56666666667,42934.27199999999
10000,2,8,10503.766666666665,42934.27199999999
10000,2,16,9222.533333333335,42934.27199999999
10000,4,1,35724.333333333336,42934.27199999999
10000,4,2,18163.7,42934.27199999999
10000,4,4,9208.266666666668,42934.27199999999
10000,4,8,5644.033333333333,42934.27199999999
10000,4,16,4894.900000000001,42934.27199999999
10000,8,1,17158.7,42934.27199999999
10000,8,2,8877.733333333334,42934.27199999999
10000,8,4,4821.833333333333,42934.27199999999
10000,8,8,3241.9,42934.27199999999
10000,8,16,3375.1,42934.27199999999
10000,16,1,9105.900000000001,42934.27199999999
10000,16,2,5036.366666666666,42934.27199999999
10000,16,4,2841.5,42934.27199999999
10000,16,8,3053.0,42934.27199999999
10000,16,16,3110.566666666667,42934.27199999999
